"Navn","Rang f ca. 1700[3][4]","Rang f ca. 1800[3][4]","Rang f ca. 1900[5]","Rang f ca. 2000[6]","Rang ibefolkningen 2005","Antall ibefolkningen 2005","Rang ibefolkningen 2018[2]","Antall ibefolkningen 2018[2]"
"Lyder","","","","","","< 200","739","253"
"Maciej","","","","","","< 200","355","1 021"
"Mads","","","","","146","3 548","143","4 317"
"Magnar","","","","","166","2 978","227","2 416"
"Magne","","","","","59","10 128","84","8 267"
"Magnus","","","39","11","42","12 578","25","16 531"
"Mahad","","","","","","< 200","760","242"
"Mahamed","","","","","","< 200","586","379"
"Mahdi","","","","","","< 200","750","247"
"Mahmoud","","","","","","< 200","436","656"
"Maksymilian","","","","","","< 200","840","207"
"Malik","","","","","","< 200","845","205"
"Malvin","","","","","376","579","519","490"
"Mantas","","","","","","< 200","548","443"
"Manuel","","","","","","< 200","604","360"
"Marc","","","","","","< 200","781","234"
"Marcel","","","","","","< 200","521","486"
"Marcin","","","","","","< 200","242","2 219"
"Marco","","","","","491","320","424","682"
"Marcus","","","","","157","3 330","119","5 560"
"Marek","","","","","","< 200","278","1 712"
"Marian","","","","","","< 200","563","418"
"Mario","","","","","509","301","467","579"
"Marius","","","","5","39","13 167","26","16 470"
"Mariusz","","","","","","< 200","290","1 593"
"Mark","","","","","452","385","411","735"
"Marko","","","","","","< 200","554","428"
"Markus","","","","30","119","4 947","89","7 904"
"Martin","","","28","1","21","18 455","13","21 702"
"Martinius","","","","","","< 200","784","232"
"Martinus","","","","","542","263","590","376"
"Martynas","","","","","","< 200","806","221"
"Marvin","","","","","575","229","686","289"
"Matas","","","","","","< 200","800","226"
"Mateo","","","","","","< 200","607","358"
"Mateusz","","","","","","< 200","353","1 032"
"Matheo","","","","","","< 200","244","2 178"
"Matheus","","","","","","< 200","773","237"
"Mathias","","","","25","95","6 564","48","11 488"
"Mathis","","","","","570","232","759","243"
"Matias","","","","","323","845","312","1 370"
"Mats","","","","32","108","5 737","101","6 981"
"Matteo","","","","","","< 200","666","308"
"Matthew","","","","","","< 200","574","404"
"Matthias","","","","","","< 200","697","284"
"Mattias","","","","","504","305","529","476"
"Mattis","","","","","425","434","403","774"
"Max","","","","","378","565","257","2 039"
"Maximilian","","","","","","< 200","527","477"
"Mehdi","","","","","","< 200","674","304"
"Mehmet","","","","","435","410","504","508"
"Melvin","","","","","","< 200","614","355"
"Michael","","","","","149","3 498","131","4 893"
"Michal","","","","","","< 200","261","1 931"
"Michel","27","32","","","","< 200","","< 200"
"Miguel","","","","","","< 200","656","317"
"Mika","","","","","","< 200","723","267"
"Mikael","","","","","210","1 909","206","2 836"
"Mikal","","","","","321","851","374","911"
"Mike","","","","","","< 200","746","250"
"Mikkel","","","","","236","1 534","164","3 675"
"Mikolaj","","","","","","< 200","775","236"
"Milan","","","","","","< 200","462","586"
"Milian","","","","","","< 200","543","452"
"Mindaugas","","","","","","< 200","442","644"
"Minh","","","","","559","249","718","270"
"Mio","","","","","","< 200","524","480"
"Miroslav","","","","","","< 200","821","214"
"Miroslaw","","","","","","< 200","402","777"
"Mohamad","","","","","","< 200","302","1 445"
"Mohamed","","","","","244","1 486","174","3 413"
"Mohammad","","","","","170","2 880","127","5 032"
"Mohammed","","","","","268","1 283","204","2 845"
"Mons","21","35","","","461","363","569","409"
"Morgan","","","","","382","557","430","676"
"Morten","43","","","29","16","22 128","12","21 860"
"Mostafa","","","","","","< 200","691","287"
"Muhammad","","","","","360","637","260","1 943"
"Muhammed","","","","","","< 200","595","372"
"Mustafa","","","","","365","614","331","1 211"
"Narve","","","","","504","305","700","282"
"Nathan","","","","","","< 200","716","272"
"Nathaniel","","","","","","< 200","385","843"
"Nerijus","","","","","","< 200","626","344"
"Nicholas","","","","","350","690","322","1 292"
"Nicklas","","","","","442","401","390","831"
"Niclas","","","","","497","314","537","464"
"Nicolai","","","","","225","1 695","207","2 826"
"Nicolas","","","","","441","402","392","828"
"Nicolay","","","","","375","583","387","838"
"Niels","6","6","","","371","605","452","611"
"Niklas","","","","","279","1 204","247","2 164"
"Nikola","","","","","","< 200","675","304"
"Nikolai","","","","","188","2 314","146","4 074"
"Nikolas","","","","","596","207","515","494"
"Nikolay","","","","","","< 200","635","336"
"Nils","31","22","13","","34","14 558","43","12 582"
"Njål","","","","","368","613","454","607"
"Noa","","","","","","< 200","646","322"
"Noah","","","","","322","848","125","5 226"
"Noel","","","","","","< 200","659","313"
"Noralf","","","","","596","207","","< 200"
"Norbert","","","","","","< 200","727","263"
"Normann","","","","","443","400","763","241"
"Norvald","","","","","339","750","489","539"
"Odd","","","","","11","24 444","20","18 988"
"Oddbjørn","","","","","173","2 776","224","2 477"
"Oddgeir","","","","","337","755","416","717"
"Oddleif","","","","","537","270","830","210"
"Oddmund","","","","","219","1 756","324","1 275"
"Oddvar","","","","","104","5 985","138","4 544"
"Oddvin","","","","","423","436","620","349"
"Odin","","","","","283","1 184","187","3 039"
"Odvar","","","","","565","237","","< 200"
"Ola","","","45","","72","9 177","67","9 341"
"Olaf","","","11","","167","2 949","252","2 104"
"Olai","","","","","575","229","393","824"
"Olav","","","3","","26","17 039","33","14 847"
"Ole","1","1","2","7","4","32 911","4","30 984"
"Ole-Christian","","","","","562","248","766","240"
"Ole-Jørgen","","","","","590","211","846","204"
"Ole-Kristian","","","","","474","341","627","343"
"Ole-Martin","","","","","431","421","550","436"
"Ole-Petter","","","","","570","232","776","236"
"Oliver","","","","","211","1 895","100","7 033"
"Olivier","","","","","","< 200","788","231"
"Oluf","","","","","587","214","","< 200"
"Olve","","","","","513","298","506","505"
"Omar","","","","","347","706","289","1 624"
"Omer","","","","","","< 200","847","204"
"Omid","","","","","","< 200","855","203"
"Oscar","","","","","240","1 506","170","3 596"
"Oskar","","","25","","178","2 547","137","4 751"
"Osman","","","","","483","326","484","549"
"Osvald","","","","","407","486","729","262"
